"level0","level1","level2","Number of children born alive","count"
"55–59 Years","Christchurch Central","South Island general electorates","Four Children",126
"60–64 Years","Christchurch Central","South Island general electorates","Four Children",129
"65–69 Years","Christchurch Central","South Island general electorates","Four Children",120
"70–74 Years","Christchurch Central","South Island general electorates","Four Children",132
"75–79 Years","Christchurch Central","South Island general electorates","Four Children",138
"80–84 Years","Christchurch Central","South Island general electorates","Four Children",159
"85 Years And Over","Christchurch Central","South Island general electorates","Four Children",150
"15–19 Years","Christchurch East","South Island general electorates","Four Children",0
"20–24 Years","Christchurch East","South Island general electorates","Four Children",9
"25–29 Years","Christchurch East","South Island general electorates","Four Children",30
"30–34 Years","Christchurch East","South Island general electorates","Four Children",75
"35–39 Years","Christchurch East","South Island general electorates","Four Children",99
"40–44 Years","Christchurch East","South Island general electorates","Four Children",129
"45–49 Years","Christchurch East","South Island general electorates","Four Children",150
"50–54 Years","Christchurch East","South Island general electorates","Four Children",189
"55–59 Years","Christchurch East","South Island general electorates","Four Children",195
"60–64 Years","Christchurch East","South Island general electorates","Four Children",159
"65–69 Years","Christchurch East","South Island general electorates","Four Children",174
"70–74 Years","Christchurch East","South Island general electorates","Four Children",159
"75–79 Years","Christchurch East","South Island general electorates","Four Children",132
"80–84 Years","Christchurch East","South Island general electorates","Four Children",132
"85 Years And Over","Christchurch East","South Island general electorates","Four Children",72
"15–19 Years","Clutha-Southland","South Island general electorates","Four Children",0
"20–24 Years","Clutha-Southland","South Island general electorates","Four Children",0
"25–29 Years","Clutha-Southland","South Island general electorates","Four Children",21
"30–34 Years","Clutha-Southland","South Island general electorates","Four Children",63
"35–39 Years","Clutha-Southland","South Island general electorates","Four Children",111
"40–44 Years","Clutha-Southland","South Island general electorates","Four Children",168
"45–49 Years","Clutha-Southland","South Island general electorates","Four Children",177
"50–54 Years","Clutha-Southland","South Island general electorates","Four Children",237
"55–59 Years","Clutha-Southland","South Island general electorates","Four Children",177
"60–64 Years","Clutha-Southland","South Island general electorates","Four Children",219
"65–69 Years","Clutha-Southland","South Island general electorates","Four Children",240
"70–74 Years","Clutha-Southland","South Island general electorates","Four Children",222
"75–79 Years","Clutha-Southland","South Island general electorates","Four Children",171
"80–84 Years","Clutha-Southland","South Island general electorates","Four Children",132
"85 Years And Over","Clutha-Southland","South Island general electorates","Four Children",111
"15–19 Years","Dunedin North","South Island general electorates","Four Children",0
"20–24 Years","Dunedin North","South Island general electorates","Four Children",0
"25–29 Years","Dunedin North","South Island general electorates","Four Children",15
"30–34 Years","Dunedin North","South Island general electorates","Four Children",42
"35–39 Years","Dunedin North","South Island general electorates","Four Children",63
"40–44 Years","Dunedin North","South Island general electorates","Four Children",102
"45–49 Years","Dunedin North","South Island general electorates","Four Children",99
"50–54 Years","Dunedin North","South Island general electorates","Four Children",147
"55–59 Years","Dunedin North","South Island general electorates","Four Children",153
"60–64 Years","Dunedin North","South Island general electorates","Four Children",129
"65–69 Years","Dunedin North","South Island general electorates","Four Children",126
"70–74 Years","Dunedin North","South Island general electorates","Four Children",120
"75–79 Years","Dunedin North","South Island general electorates","Four Children",114
"80–84 Years","Dunedin North","South Island general electorates","Four Children",90
"85 Years And Over","Dunedin North","South Island general electorates","Four Children",78
"15–19 Years","Dunedin South","South Island general electorates","Four Children",0
"20–24 Years","Dunedin South","South Island general electorates","Four Children",3
"25–29 Years","Dunedin South","South Island general electorates","Four Children",27
"30–34 Years","Dunedin South","South Island general electorates","Four Children",48
"35–39 Years","Dunedin South","South Island general electorates","Four Children",90
"40–44 Years","Dunedin South","South Island general electorates","Four Children",114
"45–49 Years","Dunedin South","South Island general electorates","Four Children",129
"50–54 Years","Dunedin South","South Island general electorates","Four Children",153
"55–59 Years","Dunedin South","South Island general electorates","Four Children",186
